step,box_x,box_y,box_z,eef_x,eef_y,eef_z,wall_gap,box_height,measured_force_normal,phase
0,-6.025742057457168e-14,-0.054999999999358375,0.07266927766908228,-0.13888126277113125,-0.008205732317476351,0.26448289366666133,0.15500056804391948,0.15266927766908228,1.7688569196642946e-16,approach
1,-9.107173968510763e-14,-0.05499999999903014,0.0787120943358196,-0.13175728467042622,-0.03187558363666161,0.2529921302127438,0.15500056804359125,0.15871209433581962,-1.10404084729649e-10,approach
2,-9.75300570077948e-14,-0.05499999999896137,0.07972787847143735,-0.12458430365187517,-0.06176545509805907,0.23818534878329667,0.15500056804352247,0.15972787847143735,-5.4970006328921135e-11,approach
3,-9.84595606769699e-14,-0.05499999999895145,0.07986688272049787,-0.12176975000955322,-0.06663344960151397,0.21303466837963464,0.15500056804351256,0.15986688272049787,-1.16317408050924e-11,approach
4,-9.858412417508318e-14,-0.05499999999895012,0.07988799396465765,-0.11537285493428612,-0.05889066272774585,0.19182257607716058,0.15500056804351123,0.15988799396465764,-1.3512758384620735e-12,approach
5,-9.860446143649994e-14,-0.054999999998949896,0.07989151868481054,-0.10889452283429851,-0.06643294640704478,0.17347345010911286,0.155000568043511,0.15989151868481055,-1.9841743535901834e-13,approach
6,-9.860745768198705e-14,-0.054999999998949896,0.07989212017967573,-0.0950937174976799,-0.08509308789101448,0.16409603460807642,0.155000568043511,0.15989212017967575,-3.225534699452898e-14,approach
7,0.0024433179029292587,-0.05708272816041361,0.08017191987542292,-0.07850840645161145,-0.10186415145774763,0.16899981139884468,0.15708329620497472,0.16017191987542292,-1.0867799941208365e-14,approach
8,0.007308238784192501,-0.058861291702956925,0.08409855512402178,-0.07538567767421661,-0.08875448856296732,0.17665880537482978,0.15886185974751804,0.16409855512402177,-2.940311232940463,approach
9,0.005989407004685189,-0.06358260866661955,0.07882360900733681,-0.07942457104274327,-0.08267662966527549,0.18232965028337822,0.16358317671118067,0.15882360900733683,-1.567535559100991,approach
10,0.0064645330282684646,-0.063469033869476,0.07945266581922421,-0.09730725549273418,-0.10629414110584408,0.173396619342031,0.1634696019140371,0.1594526658192242,4.413639433172893,approach
11,0.006640642000576387,-0.06322775051473065,0.07982619667703258,-0.10908490809774338,-0.12951894274025172,0.1567363050234684,0.16322831855929176,0.15982619667703257,-0.1376048079254641,approach
12,0.006666496257215224,-0.06319155605171814,0.07988164791071764,-0.10352298091801249,-0.1400483447328393,0.14318420585705643,0.16319212409627926,0.15988164791071763,-0.03739393865168721,approach
13,0.0066704201108862245,-0.06318603988315553,0.07989045361385422,-0.08606482283437882,-0.15191584357738291,0.14204914673257724,0.16318660792771664,0.15989045361385423,-0.005145187983288821,approach
14,0.01259270458404842,-0.057072537325451256,0.08099461646368998,-0.07361358546586375,-0.14700622566232519,0.14597666345214383,0.15707310537001234,0.16099461646368998,-0.0008042600148141772,approach
